round,sample_id,language,footprint_bytes,passes,shuffle_key
1,r01-o01-cpp-32768,cpp,32768,65536,0166450792
1,r01-o02-go-6291456,go,6291456,342,0225700531
1,r01-o03-c-1048576,c,1048576,2048,0395249673
1,r01-o04-rust-36864,rust,36864,58255,0459017001
1,r01-o05-cpp-36864,cpp,36864,58255,0483861763
1,r01-o06-cpp-536870912,cpp,536870912,4,0486297619
1,r01-o07-c-8388608,c,8388608,256,0605790670
1,r01-o08-rust-6291456,rust,6291456,342,0613673119
1,r01-o09-rust-8388608,rust,8388608,256,0726653972
1,r01-o10-cpp-1048576,cpp,1048576,2048,0852245435
1,r01-o11-go-262144,go,262144,8192,0899601460
1,r01-o12-c-36864,c,36864,58255,0915574513
1,r01-o13-cpp-262144,cpp,262144,8192,0937028243
1,r01-o14-rust-262144,rust,262144,8192,0989744739
1,r01-o15-rust-32768,rust,32768,65536,1009857205
1,r01-o16-go-32768,go,32768,65536,1085839302
1,r01-o17-go-536870912,go,536870912,4,1194466667
1,r01-o18-go-1048576,go,1048576,2048,1308692538
1,r01-o19-go-8388608,go,8388608,256,1463475961
1,r01-o20-cpp-6291456,cpp,6291456,342,1464471015
1,r01-o21-c-6291456,c,6291456,342,1518541646
1,r01-o22-rust-1048576,rust,1048576,2048,1542650953
1,r01-o23-go-36864,go,36864,58255,1620869172
1,r01-o24-c-32768,c,32768,65536,1669685219
1,r01-o25-c-262144,c,262144,8192,1704090461
1,r01-o26-c-536870912,c,536870912,4,1973545366
1,r01-o27-cpp-8388608,cpp,8388608,256,1984094018
1,r01-o28-rust-536870912,rust,536870912,4,2076105039
2,r02-o01-go-32768,go,32768,65536,0135442109
2,r02-o02-rust-36864,rust,36864,58255,0250902719
2,r02-o03-c-32768,c,32768,65536,0282607837
2,r02-o04-rust-536870912,rust,536870912,4,0402693212
2,r02-o05-cpp-36864,cpp,36864,58255,0527055368
2,r02-o06-go-6291456,go,6291456,342,0744174682
2,r02-o07-cpp-32768,cpp,32768,65536,0946774083
2,r02-o08-c-36864,c,36864,58255,0985822071
2,r02-o09-go-262144,go,262144,8192,1064533580
2,r02-o10-cpp-1048576,cpp,1048576,2048,1079938161
2,r02-o11-c-8388608,c,8388608,256,1097111453
2,r02-o12-c-1048576,c,1048576,2048,1111734764
2,r02-o13-rust-32768,rust,32768,65536,1132268686
2,r02-o14-go-8388608,go,8388608,256,1256552348
2,r02-o15-cpp-536870912,cpp,536870912,4,1347418531
2,r02-o16-c-262144,c,262144,8192,1488915702
2,r02-o17-c-6291456,c,6291456,342,1501200624
2,r02-o18-c-536870912,c,536870912,4,1510264440
2,r02-o19-rust-262144,rust,262144,8192,1523115632
