round,sample_id,variant,implementation,value_type,footprint_bytes,passes,shuffle_key
1,r01-o001-cpp-avx2-string16-32768,cpp,avx2,string16,32768,65536,0000073734
1,r01-o002-cpp_native-scalar-double-1048576,cpp_native,scalar,double,1048576,2048,0011412718
1,r01-o003-cpp-scalar-float-67108864,cpp,scalar,float,67108864,32,0030733516
1,r01-o004-rust_unroll-u2-float-67108864,rust_unroll,u2,float,67108864,32,0033200196
1,r01-o005-rust-avx2-short-262144,rust,avx2,short,262144,8192,0033957229
1,r01-o006-c-scalar-int-1048576,c,scalar,int,1048576,2048,0044799074
1,r01-o007-c-scalar-float-67108864,c,scalar,float,67108864,32,0053052665
1,r01-o008-rust_unroll-u8-float-67108864,rust_unroll,u8,float,67108864,32,0053056643
1,r01-o009-rust_unroll-u8-double-1048576,rust_unroll,u8,double,1048576,2048,0057741330
1,r01-o010-c-avx2-float-262144,c,avx2,float,262144,8192,0082761904
1,r01-o011-cpp_unroll-u8-double-67108864,cpp_unroll,u8,double,67108864,32,0083577562
1,r01-o012-cpp-scalar-double-262144,cpp,scalar,double,262144,8192,0084235007
1,r01-o013-rust_unroll-u8-double-32768,rust_unroll,u8,double,32768,65536,0101004265
1,r01-o014-cpp-avx2-int-67108864,cpp,avx2,int,67108864,32,0102291317
1,r01-o015-cpp-avx2-float-67108864,cpp,avx2,float,67108864,32,0115474902
1,r01-o016-go-scalar-float-262144,go,scalar,float,262144,8192,0115885830
1,r01-o017-c-avx2-int-67108864,c,avx2,int,67108864,32,0118304234
1,r01-o018-cpp_unroll-u1-double-262144,cpp_unroll,u1,double,262144,8192,0131369667
1,r01-o019-rust-scalar-double-8388608,rust,scalar,double,8388608,256,0132330345
1,r01-o020-cpp-avx2-string16-67108864,cpp,avx2,string16,67108864,32,0141527484
1,r01-o021-clangpp-scalar-double-262144,clangpp,scalar,double,262144,8192,0152214290
1,r01-o022-c-scalar-float-32768,c,scalar,float,32768,65536,0164287340
1,r01-o023-c-scalar-short-262144,c,scalar,short,262144,8192,0166450792
1,r01-o024-c-avx2-double-262144,c,avx2,double,262144,8192,0185019530
1,r01-o025-cpp-avx2-short-67108864,cpp,avx2,short,67108864,32,0225700531
1,r01-o026-cpp_unroll-u1-float-67108864,cpp_unroll,u1,float,67108864,32,0243688641
1,r01-o027-clangpp-scalar-short-67108864,clangpp,scalar,short,67108864,32,0247538976
1,r01-o028-rust_unroll-u1-double-67108864,rust_unroll,u1,double,67108864,32,0256006803
1,r01-o029-c-avx2-int-1048576,c,avx2,int,1048576,2048,0260394241
1,r01-o030-rust-scalar-string16-32768,rust,scalar,string16,32768,65536,0262503746
1,r01-o031-cpp_native-scalar-string16-67108864,cpp_native,scalar,string16,67108864,32,0264577099
1,r01-o032-clangpp-scalar-string16-8388608,clangpp,scalar,string16,8388608,256,0266865588
1,r01-o033-c-avx2-int-8388608,c,avx2,int,8388608,256,0268621420
1,r01-o034-rust-avx2-short-67108864,rust,avx2,short,67108864,32,0275973498
1,r01-o035-cpp-avx2-string16-8388608,cpp,avx2,string16,8388608,256,0285616344
1,r01-o036-go-scalar-short-1048576,go,scalar,short,1048576,2048,0290352160
1,r01-o037-cpp-avx2-float-262144,cpp,avx2,float,262144,8192,0292638842
1,r01-o038-cpp-scalar-string16-8388608,cpp,scalar,string16,8388608,256,0308854070
1,r01-o039-clangpp-scalar-short-8388608,clangpp,scalar,short,8388608,256,0312044454
1,r01-o040-c-avx2-string16-8388608,c,avx2,string16,8388608,256,0312824386
1,r01-o041-clangpp-scalar-string16-32768,clangpp,scalar,string16,32768,65536,0315897120
1,r01-o042-cpp_unroll-u2-float-1048576,cpp_unroll,u2,float,1048576,2048,0325581973
1,r01-o043-cpp-avx2-int-32768,cpp,avx2,int,32768,65536,0329719181
1,r01-o044-cpp-avx2-double-8388608,cpp,avx2,double,8388608,256,0329806303
1,r01-o045-rust_unroll-u8-float-8388608,rust_unroll,u8,float,8388608,256,0332238009
1,r01-o046-cpp_unroll-u2-double-1048576,cpp_unroll,u2,double,1048576,2048,0339556707
1,r01-o047-go-scalar-int-8388608,go,scalar,int,8388608,256,0342965800
1,r01-o048-cpp-scalar-int-8388608,cpp,scalar,int,8388608,256,0343931375
1,r01-o049-go-scalar-int-67108864,go,scalar,int,67108864,32,0350697077
1,r01-o050-go-scalar-short-32768,go,scalar,short,32768,65536,0354898588
1,r01-o051-cpp-avx2-double-32768,cpp,avx2,double,32768,65536,0355874805
1,r01-o052-cpp_native-scalar-float-1048576,cpp_native,scalar,float,1048576,2048,0357499121
1,r01-o053-cpp_unroll-u8-double-262144,cpp_unroll,u8,double,262144,8192,0360250276
1,r01-o054-cpp_unroll-u8-float-8388608,cpp_unroll,u8,float,8388608,256,0363150769
1,r01-o055-rust-scalar-short-262144,rust,scalar,short,262144,8192,0384770700
1,r01-o056-rust-scalar-double-1048576,rust,scalar,double,1048576,2048,0390830440
1,r01-o057-cpp-scalar-short-1048576,cpp,scalar,short,1048576,2048,0395249673
1,r01-o058-rust-avx2-float-32768,rust,avx2,float,32768,65536,0419458477
1,r01-o059-clangpp-scalar-int-1048576,clangpp,scalar,int,1048576,2048,0439538191
1,r01-o060-rust-scalar-string16-67108864,rust,scalar,string16,67108864,32,0446915102
1,r01-o061-rust-avx2-short-32768,rust,avx2,short,32768,65536,0447016835
1,r01-o062-cpp_native-scalar-int-262144,cpp_native,scalar,int,262144,8192,0452309291
1,r01-o063-go-scalar-int-1048576,go,scalar,int,1048576,2048,0454897625
1,r01-o064-c-avx2-short-262144,c,avx2,short,262144,8192,0459017001
1,r01-o065-go-scalar-double-67108864,go,scalar,double,67108864,32,0476525542
1,r01-o066-rust_unroll-u1-double-8388608,rust_unroll,u1,double,8388608,256,0477940644
1,r01-o067-c-scalar-string16-8388608,c,scalar,string16,8388608,256,0478169122
